,Portfolio + Blogging Website,,,,,
,Project Documentation Guide,,,,,

,Complete technical documentation for a full-stack Portfolio & Blogging application built with Next.js (frontend) and Django (backend),,,,,

,Key Information,,,,,

,Frontend Framework,Next.js (React),Backend Framework,Django (Python),,
,Application Type,Portfolio + Blogging Platform,Documentation Version,1.0,,
,Purpose,Personal portfolio showcase + full-featured blog,Target Audience,"Developers, Clients, Recruiters",,
,Architecture,Full-Stack (Frontend + Backend + Database),Rendering,"SSR, SSG, ISR, CSR",,


,Workbook Contents,,,,,

,Sheet Name,Description,,,,
,Project Overview,"Purpose, key features, technology stack, and goals",,,,
,Pages & Responsibilities,Page-level requirements with frontend/backend duties,,,,
,Doc Structure Template,Standardized 6-section documentation template for each page,,,,
,Common Pages,"Detailed documentation for Home, About, Projects, Blog, Contact pages",,,,
,Tech Stack Details,"Frontend/backend technologies, libraries, and tools",,,,
,Data Flow & Standards,Data flow patterns and documentation standards checklist,,,,


,Documentation Standards: Consistent headings | Professional tone | Development-ready references | Uniform structure across all pages,,,,,
,Part 1 — Project Description,,,,

,1. Purpose,,,,
,"Design and document a modern, full-stack web application that acts as both a personal portfolio and a blog platform. The website serves a dual purpose: showcasing personal projects as a portfolio and functioning as a full-featured blog platform. It is built for developers, clients, and recruiters to view projects, read technical articles, and make contact.",,,,



,2. Key Features,,,,
,Feature Category,Description,,,
,Portfolio Showcase,"Display personal projects with descriptions, screenshots, tech stacks, and live/demo links",,,
,Blog Platform,"Full-featured blog with post creation, rich text editing, categories, tags, and comments",,,
,Responsive Design,"Mobile-first, adaptive layouts that work seamlessly across all device sizes",,,
,SEO Optimization,"Meta tags, Open Graph, structured data, sitemap, and search engine friendly URLs",,,
,Contact System,"Contact form with validation, email notifications, and optional social media links",,,
,Admin Dashboard,"Backend interface for managing projects, blog posts, comments, and site settings",,,
,Authentication,"User login/registration, session management, role-based access control",,,
,Performance,"Fast page loads, image optimization, caching strategy, Core Web Vitals compliance",,,


,3. Technology Stack,,,,
,Layer,Technology,Technology,Purpose,
,Frontend,Next.js 14+,Django 5+,"Python web framework with ORM, admin, security",
,Frontend,TypeScript,Django REST Framework,RESTful API serialization and viewsets,
,Frontend,Tailwind CSS,PostgreSQL,Primary relational database,
,Frontend,shadcn/ui,Redis,Caching layer and session store,
,Frontend,React Query,Celery,Background task processing,
,Frontend,Zustand,JWT/OAuth2,Authentication token handling,
,Frontend,Axios,WhiteNoise,Static file serving in production,
,Frontend,Next-Auth.js,Gunicorn,WSGI HTTP server for production,
,Page-Level Requirements & Responsibilities,,,,
,"Each page requires documentation of its purpose, frontend responsibilities (Next.js), and backend responsibilities (Django)",,,,

,Page,Purpose,Frontend Responsibilities (Next.js),Backend Responsibilities (Django),
,Home / Landing,"First impression; showcases featured projects, latest blog posts, and personal brand","Hero section, project previews, blog post cards, CTA buttons; SSR for SEO; responsive layout with Tailwind; animated entrance effects","API endpoints: GET /featured-projects, GET /latest-posts; caching with Redis; meta tag configuration via Django settings",
,About,"Personal bio, skills, experience, education, and professional background","Bio section, timeline component, skills visualization, downloadable resume link; SSG for static content","About model (bio, skills, experience entries); GET /about endpoint; media storage for resume PDF; admin-managed content",
,Projects / Portfolio,"Complete listing of all projects with filtering, search, and detailed views","Project grid with filters (category, tech stack), search bar, pagination, project detail modal/page; ISR for detail pages","Project model (title, description, tech_stack, screenshots, live_url, github_url); GET /projects with filters; image upload to S3/local storage",
,Blog / Articles,"Blog post listing with categories, tags, pagination, and search functionality","Post cards with excerpts, category/tag filters, pagination, search input; SSR for SEO; RSS feed link","Post model (title, slug, content, excerpt, category, tags, published_at, author); GET /posts with filters; full-text search via PostgreSQL",
,Blog Post Detail,"Individual blog post with full content, author info, related posts, and comments","Rich text rendering, code syntax highlighting, social share buttons, comment section, reading time estimate; SSG or ISR","GET /posts/:slug endpoint; Comment model (post, author, content, created_at); related posts query; view count tracking",
,Contact,"Contact form for visitors to send messages, plus social media links","Contact form with validation (name, email, subject, message), success/error states, reCAPTCHA integration; social media icons",ContactForm model; POST /contact endpoint with validation; email sending via Django EmailBackend; rate limiting; spam filtering,
,Admin Dashboard,"Backend interface for content management (projects, posts, comments, settings)",Next.js middleware auth guards; admin layout with sidebar; CRUD tables for projects/posts; rich text editor component; analytics charts,Django Admin customization; DRF ViewSets with ModelViewSet; authentication/permission classes (IsAdminUser); admin-specific API endpoints,
,Auth / Login,"User authentication (login, register, forgot password, profile)","Login/register forms, password reset flow, JWT token storage, protected routes middleware; Next-Auth.js integration","User model (email, password hash, role); Token authentication (JWT or session-based); POST /auth/login, /auth/register, /auth/refresh endpoints",
,Part 2 — Per-Page Documentation Template,,,
,,2. Key Features,"Personal bio / summary paragraph | Professional photo | Skills list with proficiency levels | Work experience timeline | Education section | Certifications and awards | Downloadable resume/CV PDF | Social proof (testimonials, GitHub stats) | Personal interests (optional)",
,,3. Frontend (Next.js),"Components: AboutHero, BioSection, SkillsList, ExperienceTimeline, EducationSection, ResumeDownload, StatsWidget. Rendering: SSG (content rarely changes, rebuilt on update). State: Local state for interactive timeline, modal for resume preview. Fetching: GET /api/about at build time. Styling: Timeline component with vertical line, skill bars with percentage fills. Animations: Scroll-triggered reveals for timeline items. Accessibility: Proper heading hierarchy (h1 > h2 > h3), alt text for profile photo.",
,,4. Backend (Django),"Models: AboutProfile (bio, profile_photo, resume_file, location, email), Skill (name, proficiency_percent, category, order), Experience (company, role, start_date, end_date, description, is_current), Education (institution, degree, field, start_date, end_date). Views: AboutRetrieveView (single object retrieve), SkillListView (filter by category, order_by=order), ExperienceListView (order_by=-start_date). Serializers: AboutProfileSerializer, SkillSerializer, ExperienceSerializer, EducationSerializer. Endpoints: GET /api/about/ (200 OK), GET /api/skills/ (200 OK), GET /api/experience/ (200 OK). Media: profile_photo and resume_file served via WhiteNoise/S3.",
,,5. Data Flow,"1. Build time: Next.js calls GET /api/about/ during static generation. 2. Django returns profile data with related skills, experience, education (select_related/prefetch_related). 3. Next.js embeds data in static HTML at build time. 4. On page load, static HTML served from CDN > hydration adds interactivity. 5. User clicks timeline item > expands detail via local state (no API call). Resume download: GET /media/resume.pdf served by Nginx/WhiteNoise.",
,,6. Integrations & Considerations,"Third-party: react-vertical-timeline-component (timeline UI), react-countup (animated stats). Performance: SSG means instant load; optimize profile photo with next/image. Security: Resume PDF scan for malware, restrict media access. SEO: Rich structured data for Person schema (name, jobTitle, alumniOf, knowsAbout).",
,Projects,1. Purpose & Objectives,"Comprehensive portfolio showcase. Goals: Display all projects with filtering/search, enable deep-dive into individual projects, demonstrate technical breadth and depth. Target: Technical hiring managers, potential clients. Metrics: Project detail views, filter usage, external link clicks (GitHub/live demo).",
,,2. Key Features,"Project grid with thumbnail cards | Category filters (Web, Mobile, API, etc.) | Technology stack filters | Search by title/description | Sort options (recent, featured, alphabetical) | Pagination or infinite scroll | Project detail page with full description | Image gallery/screenshots carousel | Links to GitHub and live demo | Related projects section",
,,3. Frontend (Next.js),"Components: ProjectsPage (layout with filters + grid), ProjectCard, ProjectFilters (category, tech, search), ProjectGrid, ProjectDetailPage, ImageGallery, TechBadgeList, RelatedProjects. Rendering: List page SSR/CSR with filters, detail pages ISR (revalidate: 3600). State: URL query params for filter state (shareable), Zustand for UI state. Fetching: GET /api/projects?category=X&tech=Y&search=Z&page=1. Routing: /projects (list), /projects/[slug] (detail). Styling: CSS Grid for responsive layout (1/2/3 columns), hover effects on cards. Accessibility: Filter announcements via aria-live, keyboard navigation for pagination.",
,,4. Backend (Django),"Models: Project (title, slug, description, short_description, category, tech_stack[], github_url, live_url, featured_image, screenshots[], is_featured, order, created_at, updated_at), ProjectCategory (name, slug, description). Views: ProjectListView (filtering via django-filter: category, tech_stack__contains, search across title/description; pagination: 12/page), ProjectDetailView (lookup by slug). Serializers: ProjectListSerializer (lightweight: title, slug, short_description, featured_image, category, tech_stack[]), ProjectDetailSerializer (full: all fields + related projects). Endpoints: GET /api/projects/ (200 OK, pagination metadata), GET /api/projects/{slug}/ (200 OK, 404). Filtering: SearchFilter, DjangoFilterBackend. Optimization: select_related for category, prefetch_related for screenshots.",
,,5. Data Flow,"List page: 1. User loads /projects > Next.js renders with initial SSR data (page 1, no filters). 2. User selects filter > URL updates (?category=web) > React Query fetches filtered results. 3. Django processes filters > returns paginated JSON with count, next, previous, results[]. 4. Frontend updates grid with new data. Detail page: 1. User clicks project card > navigates to /projects/[slug]. 2. ISR serves pre-rendered page if exists, otherwise SSR. 3. Related projects fetched via GET /api/projects?exclude=current_slug&category=same&limit=3.",
,,6. Integrations & Considerations,"Third-party: yet-another-react-lightbox (image gallery), react-share (social sharing). Performance: Image optimization via next/image with blur placeholder, ISR for fast detail pages, lazy load images below fold. Security: Validate slug format, prevent SQL injection via ORM, rate limit project detail API. SEO: Dynamic meta tags per project, Open Graph images from featured_image, sitemap.xml with all project URLs.",
,Blog / Articles,1. Purpose & Objectives,"Blog post listing and discovery. Goals: Present articles in an organized, searchable manner, drive readership, establish thought leadership. Target: Developers, tech community, potential employers. Metrics: Page views per post, average read time, subscription rate, social shares.",
,,2. Key Features,"Post cards with title, excerpt, featured image, author, date | Category sidebar/filter | Tag cloud | Search functionality | Pagination | Sort by date/popularity | Reading time estimate | RSS feed link | Newsletter signup | Author profile cards",
,,3. Frontend (Next.js),"Components: BlogPage, PostCard, CategorySidebar, TagCloud, SearchBar, Pagination, SortDropdown, NewsletterForm. Rendering: SSR for SEO (posts list), SSG for category/tag pages. State: URL params for filters/search/sort/page, React Query for server state. Fetching: GET /api/posts?page=1&category=X&tag=Y&search=Z&ordering=-published_at. Routing: /blog (list), /blog/[slug] (detail), /blog/category/[slug], /blog/tag/[slug]. Styling: Clean typography-focused design, card-based layout. Accessibility: Proper article semantics, skip to content link, screen reader announcements for search results.",
,,4. Backend (Django),"Models: Post (title, slug, content, excerpt, featured_image, author [FK to User], category [FK], tags [M2M], status [draft/published], published_at, created_at, updated_at, view_count), Category (name, slug, description), Tag (name, slug), Comment (post [FK], author_name, author_email, content, is_approved, created_at). Views: PostListView (filtering: category, tags__slug, search across title/excerpt/content; ordering: -published_at, -view_count; pagination: 10/page), PostDetailView (lookup by slug, increment view_count). Serializers: PostListSerializer (id, title, slug, excerpt, featured_image, author_name, published_at, reading_time, category_name), PostDetailSerializer (all fields + comments[] + related_posts[]). Endpoints: GET /api/posts/ (200 OK), GET /api/posts/{slug}/ (200 OK, 404), GET /api/categories/ (200 OK), GET /api/tags/ (200 OK). Search: Full-text search using PostgreSQL SearchVector on title + content + excerpt.",
,,5. Data Flow,"List: 1. User navigates to /blog > Next.js SSR fetches page 1 posts. 2. User types in search > debounced API call to GET /api/posts?search=query. 3. Django uses PostgreSQL full-text search > returns filtered results. 4. Frontend updates post list without full reload. Detail: 1. User clicks post > navigates to /blog/[slug]. 2. ISR serves pre-rendered page; if stale, revalidates in background. 3. GET /api/posts/{slug}/ returns post with comments. 4. View count incremented atomically (F() expression to avoid race conditions). Comments: POST /api/posts/{slug}/comments/ with name, email, content > moderation queue (is_approved=False by default).",
,,6. Integrations & Considerations,"Third-party: react-markdown / MDX for content rendering, react-syntax-highlighter for code blocks, RSS package for feed generation. Performance: ISR with staggered revalidation, image optimization, code splitting for markdown renderer. Security: XSS prevention via markdown sanitization, CSRF protection on comment form, Akismet spam filtering, rate limiting on comments. SEO: Article structured data (headline, author, datePublished), meta description from excerpt, canonical URLs.",
,Blog Post Detail,1. Purpose & Objectives,"Individual article display with rich reading experience. Goals: Deliver content in a clean, readable format, encourage engagement (comments, shares), suggest related content. Target: Readers interested in specific topics. Metrics: Time on page, scroll depth, comment count, social shares.",
,,2. Key Features,"Rich text / Markdown rendering with syntax highlighting | Author byline with avatar | Publication date and reading time | Category and tags | Social share buttons (Twitter, LinkedIn, copy link) | Prev/next post navigation | Related posts section | Comment form and comment list | Table of contents (auto-generated from headings) | Newsletter CTA at end of post | Post reactions/likes (optional)",
,,3. Frontend (Next.js),"Components: PostDetailPage, PostHeader, PostContent (Markdown renderer), TableOfContents, AuthorCard, ShareButtons, PostNavigation, RelatedPosts, CommentSection, CommentForm, CommentList, NewsletterCTA. Rendering: ISR (revalidate: 3600) or SSG for popular posts, fallback: blocking for new posts. State: React Query for post data, local state for TOC active section, comment form state. Fetching: GET /api/posts/{slug}, POST /api/posts/{slug}/comments. Styling: Typography scale for headings (h1-h4), code blocks with dark theme, blockquotes styled distinctly. Accessibility: Article landmark, skip to comments link, focus management after comment submission.",
,,4. Backend (Django),"Models: Same as Blog list (Post, Category, Tag, Comment). Views: PostDetailView (retrieve by slug, atomically increment view_count), CommentCreateView (create comment for post, set is_approved=False pending moderation). Serializers: PostDetailSerializer (all Post fields + author details + category + tags[] + comments[approved_only=True] + related_posts[3] + prev/next slugs), CommentSerializer (id, author_name, content, created_at). Endpoints: GET /api/posts/{slug}/ (200 OK, 404 Not Found), POST /api/posts/{slug}/comments/ (201 Created, 400 Validation Error). Related posts: Find posts sharing most tags, exclude current, limit 3. View count: Use F('view_count') + 1 to prevent race conditions. Permission: Comments allow anonymous (name + email required).",
,,5. Data Flow,"1. User navigates to /blog/[slug] > Next.js checks ISR cache. 2. Cache hit: serve static; cache miss: SSR fetch from GET /api/posts/{slug}/. 3. Django retrieves post with select_related('author', 'category') + prefetch_related('tags', 'comments'). 4. Serializer builds response with post + author profile + approved comments + related posts + prev/next navigation. 5. HTML rendered with react-markdown hydrating content. Comments: 1. User fills comment form (name, email, content) > POST to /api/posts/{slug}/comments/. 2. Backend validates > saves with is_approved=False. 3. Returns 201; frontend shows 'comment pending moderation' message. 4. Admin approves via Django admin; comment appears on next page load.",
,,6. Integrations & Considerations,"Third-party: react-markdown + remark-gfm (GitHub flavored markdown), rehype-highlight (syntax highlighting), react-share (social buttons), reading-time (estimate). Performance: ISR for instant loads, lazy load comments section, defer non-critical third-party scripts. Security: bleach/sanitize HTML in markdown output, CSRF token on comment form, honeypot field for spam, rate limit: 5 comments per hour per IP. SEO: Article schema markup, canonical URL, meta description from excerpt, Open Graph with featured image.",
,Contact,1. Purpose & Objectives,"Enable visitors to send messages and get in touch. Goals: Provide easy communication channel, capture leads/inquiries, display alternative contact methods. Target: Potential clients, recruiters, collaboration seekers. Metrics: Form submission rate, response time, conversion to meetings.",
,,2. Key Features,"Contact form (name, email, subject, message) | Form validation with error messages | reCAPTCHA v3 integration | Success/error toast notifications | Social media links (GitHub, LinkedIn, Twitter) | Email address display (with copy button) | Location/timezone info | Calendly/booking link integration (optional) | FAQ section (optional)",
,,3. Frontend (Next.js),"Components: ContactPage, ContactForm, FormInput, FormTextarea, SocialLinks, ContactInfoCard, SuccessToast, ErrorToast. Rendering: SSG (mostly static). State: Form state with react-hook-form (validation rules), submission status (idle/submitting/success/error). Fetching: POST /api/contact/ with form data + recaptcha token. Validation: Client-side (required fields, email format, min length) + server-side. Styling: Clean form layout with floating labels, focus states. Accessibility: Proper form labeling, error announcement via aria-describedby, focus management on submit.",
,,4. Backend (Django),"Models: ContactMessage (name, email, subject, message, recaptcha_token, ip_address, created_at, is_read). Views: ContactCreateView (POST only, handles form submission). Validation: Validate all fields present, email format, message length (10-2000 chars), verify reCAPTCHA token with Google API. Email: On valid submission, send email to site owner via Django send_mail() with message details. Rate limiting: Max 3 submissions per IP per hour using Django Ratelimit or custom middleware. Serializers: ContactSerializer (fields: name, email, subject, message, recaptcha_token; read_only: created_at). Endpoints: POST /api/contact/ (201 Created on success, 400 Validation Error, 429 Rate Limited). Admin: ContactMessage listed in Django admin with is_read status filter.",
,,5. Data Flow,"1. User fills contact form > client-side validation passes. 2. reCAPTCHA v3 executes in background > returns token. 3. Frontend POST {name, email, subject, message, recaptcha_token} to /api/contact/. 4. Backend validates fields > verifies reCAPTCHA with Google (score >= 0.5). 5. If valid: saves ContactMessage to database > sends notification email to ADMIN_EMAIL > returns 201. 6. Frontend shows success toast > resets form. Error flow: Validation fails > 400 with field errors > frontend displays per-field errors. Rate limit exceeded > 429 > show 'try again later' message.",
,,6. Integrations & Considerations,"Third-party: Google reCAPTCHA v3 (spam prevention), react-hook-form (form management), react-hot-toast (notifications). Performance: Lightweight page, minimal API calls. Security: reCAPTCHA verification server-side (never trust client), rate limiting by IP, email content sanitization, log spam attempts. Privacy: GDPR-compliant (no data storage without consent checkbox), clear privacy policy link. Email: Configure Django EMAIL_BACKEND (SMTP/ SendGrid/AWS SES), async sending via Celery to avoid blocking response.",
,Technology Stack — Detailed Breakdown,,,,
,"Complete inventory of all technologies, libraries, and tools used across the stack",,,,

,Layer,Technology,Category,Purpose / Role,
,Frontend,Next.js 14+,Framework,"React framework with App Router, SSR, SSG, ISR, and file-based routing",
,Frontend,TypeScript,Language,Type-safe JavaScript development with compile-time error checking,
,Frontend,Tailwind CSS,Styling,"Utility-first CSS framework for rapid, responsive UI development",
,Frontend,shadcn/ui,UI Library,Pre-built accessible components built on Radix UI primitives,
,Frontend,React Query (TanStack),State Management,"Server state caching, synchronization, and background updates",
,Frontend,Zustand,State Management,Lightweight client-side state management with minimal boilerplate,
,Frontend,Axios,HTTP Client,Promise-based HTTP client for API requests with interceptors,
,Frontend,react-hook-form,Forms,Performant form handling with validation and minimal re-renders,
,Frontend,zod,Validation,TypeScript-first schema validation for forms and API responses,
,Frontend,Framer Motion,Animation,Declarative animations and gestures for React components,
,Frontend,react-markdown,Content,Render Markdown content safely as React components,
,Frontend,react-syntax-highlighter,Content,Syntax highlighting for code blocks in blog posts,
,Frontend,next-themes,UX,Dark/light mode theme switching with system preference detection,
,Frontend,react-share,Social,Social media share buttons for blog posts and projects,
,Frontend,lucide-react,Icons,"Modern, consistent icon library for UI elements",
,Backend,Django 5+,Framework,"Python web framework with ORM, admin panel, security features",
,Backend,Django REST Framework,API,"RESTful API toolkit with serializers, viewsets, and authentication",
,Backend,PostgreSQL,Database,Primary relational database for structured data storage,
,Backend,Redis,Cache / Queue,"In-memory cache, session store, and Celery message broker",
,Backend,Celery,Task Queue,Asynchronous task processing for emails and background jobs,
,Backend,Celery Beat,Scheduler,Periodic task scheduler for recurring background jobs,
,Backend,Gunicorn,WSGI Server,Production WSGI HTTP server for serving Django application,
,Backend,WhiteNoise,Static Files,Static file serving middleware for production deployments,
,Backend,Pillow,Image Processing,"Image upload handling, resizing, and format conversion",
,Backend,django-filter,API,Declarative filtering for DRF list endpoints,
,Backend,django-cors-headers,Security,CORS header management for cross-origin API requests,
,Backend,python-dotenv,Config,Environment variable management for local development,
,Backend,PyJWT,Auth,JWT token generation and verification for stateless authentication,
,Backend,django-ratelimit,Security,Rate limiting decorator for API endpoints,
